author,title,kind,words,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
"Dickens, Charles",A Tale of Two Cities,location,America,0.6666666666666666,3,2,0.6666666666666666,4.333333333333333,7.333333333333333,15.666666666666666,0.6666666666666666,0,10.333333333333334,8.333333333333334
"Dickens, Charles",A Tale of Two Cities,location,Britain,0,6,0,0,3,3,9,0,0,3,6
"Dickens, Charles",A Tale of Two Cities,location,Cambridge,6,3,6,6,0,6,0,0,0,3,-6
"Dickens, Charles",A Tale of Two Cities,location,Canada,0,8,4,0,12,20,44,0,0,28,24
"Dickens, Charles",A Tale of Two Cities,location,Clerkenwell,1,4,1,1,3,1,9.666666666666666,0,4,3,8.666666666666666
"Dickens, Charles",A Tale of Two Cities,location,Concord,0.14285714285714285,1.1428571428571428,0,0.2857142857142857,0.2857142857142857,0.8571428571428571,2.2857142857142856,0.5714285714285714,0.2857142857142857,1.8571428571428572,1.4285714285714286
"Dickens, Charles",A Tale of Two Cities,location,Dover,0.6,3.4,0.13333333333333333,1.0666666666666667,0.8666666666666667,1.3333333333333333,3.3333333333333335,0.4,0.4666666666666667,2.2666666666666666,2
"Dickens, Charles",A Tale of Two Cities,location,East,1.180722891566265,1.3253012048192772,0.8192771084337349,1.4819277108433735,0.9036144578313253,2.7590361445783134,3.325301204819277,1.6024096385542168,0.6987951807228916,2.144578313253012,0.5662650602409639
"Dickens, Charles",A Tale of Two Cities,location,England,0.7666666666666667,1.4666666666666666,0.8,1.0666666666666667,1.1,2.2,3.4,0.9333333333333333,0.6333333333333333,2.533333333333333,1.2
"Dickens, Charles",A Tale of Two Cities,location,Europe,6,3,6,6,0,6,0,0,0,3,-6
"Dickens, Charles",A Tale of Two Cities,location,France,1.56,1.66,1.24,1.78,1.28,3.34,3.22,2.2,0.84,2.12,-0.12
"Dickens, Charles",A Tale of Two Cities,location,Greece,0,6,0,0,3,3,9,0,0,3,6
"Dickens, Charles",A Tale of Two Cities,location,London,1.1363636363636365,2.3636363636363638,0.7727272727272727,1.9545454545454546,2.090909090909091,1.9090909090909092,5.136363636363637,1.4090909090909092,1.3181818181818181,3.590909090909091,3.227272727272727
"Dickens, Charles",A Tale of Two Cities,location,North America,0,8,4,0,12,20,44,0,0,28,24
"Dickens, Charles",A Tale of Two Cities,location,North Tower,0.9,0,0.6,0.8,0.1,1.2,1.6,0.9,0,0.2,0.4
"Dickens, Charles",A Tale of Two Cities,location,Norway,4,4,4,6,0,8,6,6,2,4,-2
"Dickens, Charles",A Tale of Two Cities,location,Notre Dame,2.3333333333333335,3,2.6666666666666665,2,3,5,8.333333333333334,3,2,4.333333333333333,3.3333333333333335
"Dickens, Charles",A Tale of Two Cities,location,Paris,1.403225806451613,1.6774193548387097,0.7741935483870968,1.8225806451612903,1.467741935483871,2.6129032258064515,4.112903225806452,1.7741935483870968,0.6935483870967742,2.9838709677419355,1.5
"Dickens, Charles",A Tale of Two Cities,location,Rome,0,2.3333333333333335,0.6666666666666666,0,1,2,4,0,0,1,2
"Dickens, Charles",A Tale of Two Cities,location,Saint Antoine Quarter,2.2857142857142856,4.163265306122449,1.3265306122448979,3.326530612244898,3.9183673469387754,4.510204081632653,6.6938775510204085,2.4081632653061225,3.877551020408163,6,2.183673469387755
"Dickens, Charles",A Tale of Two Cities,location,Saint Germain Quarter,0,3,0,0,6,0,6,0,3,9,6
"Dickens, Charles",A Tale of Two Cities,location,Saint Pancras,0,7,0,3,7,2,7,3,4,6,5
"Dickens, Charles",A Tale of Two Cities,location,Saint Paul,0,6,0,0,6,0,12,0,6,6,12
"Dickens, Charles",A Tale of Two Cities,location,Soho,1.1176470588235294,3,0.47058823529411764,0.8235294117647058,2.764705882352941,1.7058823529411764,8.058823529411764,1.8823529411764706,0.7058823529411765,5.411764705882353,6.352941176470588
"Dickens, Charles",A Tale of Two Cities,location,South Sea,1,0,0,1,0,2,2,0,0,0,0
"Dickens, Charles",A Tale of Two Cities,location,Temple,1.0555555555555556,1.3333333333333333,0.7222222222222222,1.1666666666666667,0.9444444444444444,2.611111111111111,2.888888888888889,1.2777777777777777,0.5,3.2777777777777777,0.2777777777777778
"Dickens, Charles",A Tale of Two Cities,location,Temple Bar,0.8333333333333334,1.1666666666666667,0.6666666666666666,0.75,1,2.3333333333333335,3.3333333333333335,0.8333333333333334,0.75,4.333333333333333,1
"Dickens, Charles",A Tale of Two Cities,location,Temple Court,4,2,2,4,0,6,0,6,0,0,-6
"Dickens, Charles",A Tale of Two Cities,location,Washington,1.5,1.5,0.5,2.5,1.5,3.5,4,1,0.5,3,0.5
"Dickens, Charles",A Tale of Two Cities,location,Westminster,4.5,3.5,6,6,2,10.5,3.5,6,1,1.5,-7
"Dickens, Charles",A Tale of Two Cities,location,Westminster Hall,9,3,12,12,0,21,3,12,0,3,-18
"Dickens, Charles",Great Expectations,location,America,1,1,0,1,1,4,5,3,1,1,1
"Dickens, Charles",Great Expectations,location,Athens,0,0,0,0,0,3,0,0,0,0,-3
"Dickens, Charles",Great Expectations,location,Biddy,1.2822085889570551,1.7791411042944785,0.8773006134969326,1.5766871165644172,1.6687116564417177,2.5337423312883436,4.705521472392638,1.852760736196319,0.6687116564417178,2.245398773006135,2.1717791411042944
"Dickens, Charles",Great Expectations,location,Botany Bay,0,1,0,0,1,0,1,0,0,1,1
"Dickens, Charles",Great Expectations,location,Britain,0,1.3846153846153846,0,0.6923076923076923,0.5384615384615384,0.46153846153846156,2.8461538461538463,0.15384615384615385,0.15384615384615385,3.3846153846153846,2.3846153846153846
"Dickens, Charles",Great Expectations,location,Cairo,3,6,3,6,3,6,6,3,3,0,0
"Dickens, Charles",Great Expectations,location,Camberwell Green,0,0,0,1.5,3,3,3,3,1.5,1.5,0
"Dickens, Charles",Great Expectations,location,Cambridge,0,7,0,0,7,0,14,0,0,0,14
"Dickens, Charles",Great Expectations,location,Canterbury,4,0,4,4,8,28,24,8,4,16,-4
"Dickens, Charles",Great Expectations,location,Covent Garden,3.3333333333333335,5.333333333333333,1.6666666666666667,0.6666666666666666,6,4,8.666666666666666,2.3333333333333335,3.3333333333333335,4,4.666666666666667
"Dickens, Charles",Great Expectations,location,Denmark,0.75,3.25,0.5,3.25,3,2.75,6.5,0.25,0,3,3.75
"Dickens, Charles",Great Expectations,location,East,0.9285714285714286,1.119047619047619,0.5,1.2142857142857142,0.9880952380952381,1.9047619047619047,2.107142857142857,1.0595238095238095,0.6547619047619048,1.3928571428571428,0.20238095238095238
"Dickens, Charles",Great Expectations,location,England,0.6363636363636364,0.45454545454545453,0.18181818181818182,0.8181818181818182,0.09090909090909091,1.3636363636363635,1.2727272727272727,0.36363636363636365,0.2727272727272727,0.45454545454545453,-0.09090909090909091
"Dickens, Charles",Great Expectations,location,Essex,0,0,0,0,0,1.3333333333333333,5.333333333333333,1.6666666666666667,0,2.6666666666666665,4
"Dickens, Charles",Great Expectations,location,Essex Street,0,0,0,0,0,2,8,1,0,4,6
"Dickens, Charles",Great Expectations,location,Estella,1.3958333333333333,1.4479166666666667,1.0572916666666667,1.9010416666666667,1.640625,3.3229166666666665,3.625,1.9114583333333333,0.453125,2.0833333333333335,0.3020833333333333
"Dickens, Charles",Great Expectations,location,Europe,0,3,3,3,3,6,6,0,0,0,0
"Dickens, Charles",Great Expectations,location,France,0,0,0.5,0,0,1.5,0,0,0,0,-1.5
"Dickens, Charles",Great Expectations,location,Gerrard Street,0.25,0,0,0.25,0.75,1.25,3,0.25,0.25,1,1.75
"Dickens, Charles",Great Expectations,location,Gravesend,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,1.6666666666666667,0.3333333333333333,2,0,0,-1.3333333333333333
"Dickens, Charles",Great Expectations,location,Greenwich,1,1,0,1,0,4.5,7,3.5,0,3.5,2.5
"Dickens, Charles",Great Expectations,location,Hamburg,0,1.6,0,0.4,1,0.4,1.4,0,0.8,1,1
"Dickens, Charles",Great Expectations,location,Hyde Park,0,0,0,0,0,0.5,0.5,0,0,1,0
"Dickens, Charles",Great Expectations,location,India,2,1,1,1,0,2,1,2,1,0,-1
"Dickens, Charles",Great Expectations,location,Kent,0,0,0,0,0,0,0,3,0,0,0
"Dickens, Charles",Great Expectations,location,Little Britain,0,1.3846153846153846,0,0.6923076923076923,0.5384615384615384,0.46153846153846156,2.8461538461538463,0.15384615384615385,0.15384615384615385,3.3846153846153846,2.3846153846153846
"Dickens, Charles",Great Expectations,location,London,0.7796610169491526,1.2203389830508475,0.6779661016949152,0.6779661016949152,0.711864406779661,2.135593220338983,2.9491525423728815,1.1355932203389831,0.423728813559322,1.8644067796610169,0.8135593220338984
"Dickens, Charles",Great Expectations,location,Lunnon,0,0,2,1,0,2,1,0,0,0,-1
"Dickens, Charles",Great Expectations,location,Marseilles,0,3,0,3,3,0,3,0,0,0,3
"Dickens, Charles",Great Expectations,location,New South Wales,0.5,1.125,0,0.75,0.25,0.75,1.75,0,0.375,2,1
"Dickens, Charles",Great Expectations,location,Paris,1.8888888888888888,4.111111111111111,0.3333333333333333,6.666666666666667,3.3333333333333335,10.88888888888889,4.333333333333333,7.777777777777778,1.1111111111111112,4.666666666666667,-6.555555555555555
"Dickens, Charles",Great Expectations,location,Portsmouth,0.75,1.75,0.25,1,1,1,2.25,0.75,0.5,1.25,1.25
"Dickens, Charles",Great Expectations,location,Richmond,0.125,1,0,1.875,0.75,0.875,3.75,0.625,0.125,1.5,2.875
"Dickens, Charles",Great Expectations,location,Saint Paul,3,3,1,2,2,3,3,2,2,3,0
"Dickens, Charles",Great Expectations,location,Spider,0.5,1.7,1.9,1.5,0.5,0.9,1.8,0.2,0,1.2,0.9
"Dickens, Charles",Great Expectations,location,Temple,0.4375,0.6875,0.375,0.8125,0.5625,1.4375,2.3125,0.5,0.3125,1.625,0.875
"Dickens, Charles",Great Expectations,location,Temple Gardens,0,0,0,4,0,0,0,0,0,4,0
"Dickens, Charles",Great Expectations,location,Westminster,0,4,0,0,4,0,4,0,0,4,4
"Dickens, Charles",Great Expectations,location,Westminster Abbey,0,4,0,0,4,0,4,0,0,4,4
"Dickens, Charles",Great Expectations,location,Windsor,3,6,3,3,6,3,18,3,3,9,15
"Dickens, Charles",Great Expectations,location,Wood Street,1,1.5,0,1.5,0,2.5,0,3,0,0.5,-2.5
